timestamp_sent,field,channel,reading
1668546475.264481,B,Z,-0.885009765625
1668546475.265479,B,X,0.01068115234375
1668546475.265479,B,Y,0.052490234375
1668546475.265479,B,Z,-0.88348388671875
1668546475.266477,B,X,0.009765625
1668546475.266477,B,Y,0.04852294921875
1668546475.266477,B,Z,-0.9002685546875
1668546475.267475,B,X,0.00732421875
1668546475.267475,B,Y,0.0518798828125
1668546475.267475,B,Z,-0.9222412109375
1668546475.263145,D,X,-0.00762939453125
1668546475.263145,D,Y,-0.00152587890625
1668546475.263145,D,Z,-0.892333984375
1668546475.264137,D,X,-0.00335693359375
1668546475.264137,D,Y,0.0042724609375
1668546475.264137,D,Z,-0.91217041015625
1668546475.265129,D,X,0.00152587890625
1668546475.265129,D,Y,0.01007080078125
1668546475.265129,D,Z,-0.93414306640625
1668546475.266121,D,X,0.0042724609375
1668546475.266121,D,Y,0.01190185546875
1668546475.266121,D,Z,-0.936279296875
1668546475.267113,D,X,0.001220703125
1668546475.267113,D,Y,0.009765625
1668546475.267113,D,Z,-0.9295654296875
1668546475.268105,D,X,0.00030517578125
1668546475.268105,D,Y,0.01007080078125
1668546475.268105,D,Z,-0.9307861328125
1668546475.269097,D,X,0.00518798828125
1668546475.269097,D,Y,0.01190185546875
1668546475.269097,D,Z,-0.94146728515625
1668546475.266762,A,X,-0.03265380859375
1668546475.266762,A,Y,0.04119873046875
1668546475.266762,A,Z,-0.9649658203125
1668546475.267762,A,X,-0.03143310546875
1668546475.267762,A,Y,0.03936767578125
1668546475.267762,A,Z,-0.95123291015625
1668546475.268762,A,X,-0.0311279296875
1668546475.268762,A,Y,0.04180908203125
1668546475.268762,A,Z,-0.9515380859375
1668546475.269762,A,X,-0.03082275390625
1668546475.269762,A,Y,0.0408935546875
1668546475.269762,A,Z,-0.94482421875
1668546475.270762,A,X,-0.0274658203125
1668546475.270762,A,Y,0.03997802734375
1668546475.270762,A,Z,-0.926513671875
1668546475.271762,A,X,-0.02685546875
1668546475.271762,A,Y,0.03692626953125
1668546475.271762,A,Z,-0.92010498046875
1668546475.272762,A,X,-0.02227783203125
1668546475.272762,A,Y,0.029296875
1668546475.272762,A,Z,-0.92193603515625
1668546475.26847,B,X,0.00701904296875
1668546475.26847,B,Y,0.05218505859375
1668546475.26847,B,Z,-0.9197998046875
1668546475.269468,B,X,0.00274658203125
1668546475.269468,B,Y,0.05126953125
1668546475.269468,B,Z,-0.89447021484375
1668546475.270466,B,X,0.00732421875
1668546475.270466,B,Y,0.04852294921875
1668546475.270466,B,Z,-0.86883544921875
1668546475.271464,B,X,0.00885009765625
1668546475.271464,B,Y,0.0433349609375
1668546475.271464,B,Z,-0.8526611328125
1668546475.272462,B,X,0.009765625
1668546475.272462,B,Y,0.040283203125
1668546475.272462,B,Z,-0.87066650390625
1668546475.27346,B,X,0.01251220703125
1668546475.27346,B,Y,0.03631591796875
1668546475.27346,B,Z,-0.89691162109375
1668546475.274458,B,X,0.01495361328125
1668546475.274458,B,Y,0.03204345703125
1668546475.274458,B,Z,-0.892333984375
1668546475.270096,D,X,0.00335693359375
1668546475.270096,D,Y,0.01190185546875
1668546475.270096,D,Z,-0.92437744140625
1668546475.271088,D,X,0.006103515625
1668546475.271088,D,Y,0.01068115234375
1668546475.271088,D,Z,-0.91064453125
1668546475.27208,D,X,-0.00030517578125
1668546475.27208,D,Y,0.00701904296875
1668546475.27208,D,Z,-0.909423828125
1668546475.273072,D,X,-0.00946044921875
1668546475.273072,D,Y,0.0030517578125
1668546475.273072,D,Z,-0.91552734375
1668546475.274064,D,X,-0.01373291015625
1668546475.274064,D,Y,0.003662109375
1668546475.274064,D,Z,-0.9149169921875
1668546475.275056,D,X,-0.01068115234375
1668546475.275056,D,Y,0.00701904296875
1668546475.275056,D,Z,-0.92193603515625
1668546475.276048,D,X,-0.00885009765625
1668546475.276048,D,Y,0.0128173828125
1668546475.276048,D,Z,-0.93414306640625
1668546475.273768,A,X,-0.01861572265625
1668546475.273768,A,Y,0.0238037109375
1668546475.273768,A,Z,-0.91156005859375
1668546475.274768,A,X,-0.02227783203125
1668546475.274768,A,Y,0.02288818359375
1668546475.274768,A,Z,-0.91400146484375
1668546475.275768,A,X,-0.02838134765625
1668546475.275768,A,Y,0.02655029296875
1668546475.275768,A,Z,-0.92315673828125
1668546475.276768,A,X,-0.0335693359375
1668546475.276768,A,Y,0.02532958984375
1668546475.276768,A,Z,-0.9332275390625
1668546475.277768,A,X,-0.03631591796875
1668546475.277768,A,Y,0.03021240234375
1668546475.277768,A,Z,-0.93841552734375
