timestamp_sent,field,channel,reading
1668546462.633232,D,Z,-0.8935546875
1668546462.634224,D,X,0.01190185546875
1668546462.634224,D,Y,-0.00579833984375
1668546462.634224,D,Z,-0.8807373046875
1668546462.63176,A,X,-0.03265380859375
1668546462.63176,A,Y,0.037841796875
1668546462.63176,A,Z,-0.94207763671875
1668546462.63276,A,X,-0.02349853515625
1668546462.63276,A,Y,0.0408935546875
1668546462.63276,A,Z,-0.9521484375
1668546462.63376,A,X,-0.013427734375
1668546462.63376,A,Y,0.04241943359375
1668546462.63376,A,Z,-0.95458984375
1668546462.63476,A,X,-0.00946044921875
1668546462.63476,A,Y,0.0439453125
1668546462.63476,A,Z,-0.9661865234375
1668546462.63576,A,X,-0.006103515625
1668546462.63576,A,Y,0.05096435546875
1668546462.63576,A,Z,-0.98297119140625
1668546462.63676,A,X,-0.0054931640625
1668546462.63676,A,Y,0.05218505859375
1668546462.63676,A,Z,-0.994873046875
1668546462.632952,B,X,0.02044677734375
1668546462.632952,B,Y,0.054931640625
1668546462.632952,B,Z,-0.8905029296875
1668546462.63395,B,X,0.02105712890625
1668546462.63395,B,Y,0.05706787109375
1668546462.63395,B,Z,-0.89019775390625
1668546462.634948,B,X,0.02685546875
1668546462.634948,B,Y,0.06195068359375
1668546462.634948,B,Z,-0.88775634765625
1668546462.635946,B,X,0.03265380859375
1668546462.635946,B,Y,0.0604248046875
1668546462.635946,B,Z,-0.88714599609375
1668546462.636944,B,X,0.0335693359375
1668546462.636944,B,Y,0.06683349609375
1668546462.636944,B,Z,-0.88409423828125
1668546462.637942,B,X,0.035400390625
1668546462.637942,B,Y,0.069580078125
1668546462.637942,B,Z,-0.88623046875
1668546462.63894,B,X,0.03021240234375
1668546462.63894,B,Y,0.0689697265625
1668546462.63894,B,Z,-0.89111328125
1668546462.635221,D,X,0.0152587890625
1668546462.635221,D,Y,-0.009765625
1668546462.635221,D,Z,-0.870361328125
1668546462.636213,D,X,0.02105712890625
1668546462.636213,D,Y,-0.010986328125
1668546462.636213,D,Z,-0.8642578125
1668546462.637205,D,X,0.023193359375
1668546462.637205,D,Y,-0.01495361328125
1668546462.637205,D,Z,-0.860595703125
1668546462.638197,D,X,0.02044677734375
1668546462.638197,D,Y,-0.01922607421875
